p,q,T
33864.87000000,0.01476600,1625590635883
33863.82000000,0.00720300,1625590637892
33863.82000000,0.00756400,1625590637892
33863.82000000,0.01440500,1625590638124
33860.80000000,0.01476700,1625590638124
33858.11000000,0.01426600,1625590638880
33857.78000000,0.01313500,1625590640294
33853.49000000,0.01477000,1625590641886
33853.34000000,0.00780400,1625590642250
33865.30000000,0.00498900,1625590649255
33864.50000000,0.01476600,1625590653888
33867.88000000,0.00590500,1625590655892
33863.04000000,0.01476600,1625590658433
33869.09000000,0.01476400,1625590668888
33867.61000000,0.01476400,1625590674887
33865.12000000,0.01476600,1625590677886
33862.66000000,0.00351600,1625590678680
33877.55000000,0.01476000,1625590693580
33875.25000000,0.01476100,1625590695764
33875.25000000,0.01476100,1625590695870
33879.99000000,0.01475800,1625590709789
33879.99000000,0.01272400,1625590709867
33879.99000000,0.00203400,1625590709867
33879.99000000,0.00885800,1625590710674
33879.99000000,0.00638000,1625590710897
33879.99000000,0.00838000,1625590710897
33879.99000000,0.01475800,1625590715804
33879.99000000,0.00219700,1625590715865
33879.99000000,0.01009700,1625590715865
33894.87000000,0.01475200,1625590729921
33924.99000000,0.01473900,1625590734874
33927.01000000,0.00472000,1625590736072
33945.30000000,0.01473000,1625590757923
33945.20000000,0.01473400,1625590760927
33937.27000000,0.00686200,1625590761222
33944.99000000,0.01517500,1625590762230
33946.85000000,0.01344000,1625590763923
33940.26000000,0.01473200,1625590765916
33959.99000000,0.00634100,1625590766880
33962.10000000,0.01472300,1625590767923
33963.64000000,0.00263900,1625590770289
33955.80000000,0.01205400,1625590771230
33960.59000000,0.01472300,1625590773264
33960.59000000,0.01472300,1625590773874
33965.93000000,0.01472300,1625590778927
33970.33000000,0.00248200,1625590779891
34007.11000000,0.00354600,1625590783881
34019.19000000,0.00958500,1625590784478
34014.70000000,0.01470000,1625590785934
34028.01000000,0.01469600,1625590795934
34041.61000000,0.01468800,1625590797469
34039.19000000,0.01468100,1625590797887
34059.99000000,0.01422500,1625590798881
34060.94000000,0.01418400,1625590799932
34060.94000000,0.01433000,1625590800600
34048.53000000,0.01468800,1625590801943
34048.53000000,0.01469200,1625590802972
34048.53000000,0.01469600,1625590803960
34048.53000000,0.01470100,1625590804932
34048.53000000,0.01470100,1625590805944
34048.53000000,0.01470100,1625590806925
34048.53000000,0.01470100,1625590807924
34048.53000000,0.01470100,1625590808940
34048.53000000,0.01075600,1625590809924
34048.53000000,0.00394500,1625590809924
34048.53000000,0.01469500,1625590810924
34060.94000000,0.00295200,1625590812430
34074.99000000,0.01259700,1625590812430
34015.93000000,0.01469900,1625590814683
34011.39000000,0.02667300,1625590814744
34010.00000000,0.01470500,1625590815933
34003.21000000,0.01699600,1625590818857
34004.93000000,0.01470400,1625590820799
34003.52000000,0.01470500,1625590820899
34004.21000000,0.01470500,1625590821877
34013.43000000,0.01470100,1625590824816
34009.02000000,0.00411100,1625590826896
34009.02000000,0.01470200,1625590826896
34012.66000000,0.01469800,1625590827879
34009.00000000,0.01470200,1625590830846
34009.00000000,0.01470200,1625590830879
34009.00000000,0.00294000,1625590831026
34009.00000000,0.01470200,1625590831879
34009.00000000,0.00781000,1625590834134
34009.00000000,0.00689200,1625590834893
34009.00000000,0.00944200,1625590834893
34009.00000000,0.01061400,1625590837905
34009.00000000,0.00408800,1625590837967
34009.00000000,0.03248100,1625590838792
34009.00000000,0.01470200,1625590843373
34009.00000000,0.01470200,1625590843925
34009.01000000,0.01470500,1625590847925
34008.45000000,0.01470400,1625590850929
34003.52000000,0.01470500,1625590851928
34000.26000000,0.01471000,1625590860932
34000.26000000,0.01471000,1625590861936
34000.26000000,0.01471300,1625590862924
34000.26000000,0.01471400,1625590863927
34000.26000000,0.01471500,1625590864933
34000.26000000,0.01471600,1625590865932
34000.26000000,0.01471700,1625590866930
33964.11000000,0.01472200,1625590871038
33964.11000000,0.04762600,1625590871038
33964.11000000,0.01472200,1625590871916
33964.11000000,0.00467700,1625590872099
33964.11000000,0.01472200,1625590872880
33962.06000000,0.01472300,1625590875929
33960.78000000,0.01472300,1625590876084
33955.93000000,0.01472700,1625590877928
33952.98000000,0.01472700,1625590878083
33952.98000000,0.01472700,1625590878883
33959.85000000,0.01472400,1625590882094
33959.85000000,0.01472300,1625590882880
33976.06000000,0.01471700,1625590885414
33976.06000000,0.00943600,1625590885880
33976.06000000,0.00527900,1625590885880
33976.06000000,0.06032800,1625590886133
33980.10000000,0.01144200,1625590887205
33980.60000000,0.01471500,1625590888087
33980.60000000,0.00356400,1625590888331
33980.06000000,0.01471500,1625590890927
33979.81000000,0.01232100,1625590891206
33979.81000000,0.01471700,1625590891928
33972.43000000,0.01472200,1625590894937
33964.43000000,0.01472200,1625590895311
33961.30000000,0.01472300,1625590900929
33958.23000000,0.01472400,1625590904426
33958.23000000,0.01472400,1625590904882
33948.16000000,0.01473200,1625590905941
33958.22000000,0.00996800,1625590909431
33954.37000000,0.01472600,1625590911431
33945.00000000,0.01170400,1625590913497
33944.99000000,0.01473400,1625590917934
33944.99000000,0.01473400,1625590918933
33944.99000000,0.01473300,1625590919927
33944.99000000,0.01473300,1625590920931
33944.99000000,0.01473300,1625590921926
33944.99000000,0.01103600,1625590922933
33935.21000000,0.00369900,1625590922933
33935.21000000,0.01473500,1625590923944
33935.21000000,0.01473500,1625590924931
33935.21000000,0.01473600,1625590925934
33940.51000000,0.01473300,1625590929931
33940.51000000,0.01473300,1625590930937
33939.47000000,0.00902400,1625590933567
33941.36000000,0.01473200,1625590935882
33941.36000000,0.01473200,1625590936882
33956.80000000,0.01472300,1625590939884
33958.22000000,0.01472400,1625590940908
33948.20000000,0.01472900,1625590942591
33948.20000000,0.01369700,1625590942883
33947.93000000,0.01473100,1625590943930
33943.26000000,0.00805000,1625590944748
33943.26000000,0.01470500,1625590945934
33939.43000000,0.01473300,1625590950700
33939.43000000,0.00353600,1625590950987
33937.00000000,0.01473400,1625590951706
33937.00000000,0.00792000,1625590951883
33937.00000000,0.00681400,1625590951883
33935.28000000,0.00971200,1625590952712
33935.28000000,0.01473400,1625590952905
33933.44000000,0.00597400,1625590953721
33933.44000000,0.00622700,1625590953905
33934.61000000,0.00272900,1625590954885
33934.61000000,0.00272900,1625590954885
33950.54000000,0.00645700,1625590960728
33950.54000000,0.00645700,1625590960787
33945.88000000,0.01473000,1625590961926
33955.85000000,0.01472600,1625590966933
33953.09000000,0.01472800,1625590967941
33953.99000000,0.01214700,1625590973929
33953.99000000,0.00257900,1625590973929
33953.99000000,0.03307900,1625590974632
33953.85000000,0.01240600,1625590974748
33949.99000000,0.01473000,1625590976942
33949.99000000,0.01473100,1625590977907
33942.15000000,0.01473400,1625590979905
33942.15000000,0.01473100,1625590980915
33942.15000000,0.01473200,1625590981926
33942.15000000,0.01473400,1625590982907
33942.15000000,0.01473400,1625590983901
33942.15000000,0.01473400,1625590984910
33942.15000000,0.01266500,1625590985909
33947.09000000,0.00768700,1625590991906
33938.97000000,0.00216200,1625590993905
33938.96000000,0.01473300,1625590994049
33937.16000000,0.01212100,1625590994049
33937.16000000,0.01473500,1625590994916
33934.46000000,0.01473500,1625590995030
33933.48000000,0.01473500,1625590996089
33933.48000000,0.01473500,1625590996882
33938.95000000,0.00609200,1625590999158
33945.53000000,0.01473000,1625591003225
33945.53000000,0.00880800,1625591003225
33945.53000000,0.00373300,1625591003883
33939.07000000,0.00590500,1625591008497
33939.07000000,0.01473300,1625591009234
33937.17000000,0.01473500,1625591010904
33935.00000000,0.01473500,1625591012238
33935.00000000,0.01473500,1625591012880
33937.16000000,0.01473400,1625591014246
33937.16000000,0.01473400,1625591014882
33937.17000000,0.01473400,1625591015905
33935.47000000,0.01473400,1625591016308
33935.47000000,0.00538600,1625591016308
33935.47000000,0.01473400,1625591016881
33940.73000000,0.00692000,1625591021264
33940.73000000,0.00781200,1625591021325
33940.73000000,0.00307000,1625591021882
33943.56000000,0.00386100,1625591027905
33943.56000000,0.00386100,1625591027905
33945.60000000,0.00647300,1625591030284
33945.60000000,0.00647300,1625591030340
33945.60000000,0.01473000,1625591031908
33945.63000000,0.01473300,1625591033907
33939.74000000,0.01473200,1625591035297
33939.74000000,0.00210500,1625591035354
33939.74000000,0.01052100,1625591035882
33945.03000000,0.01473300,1625591038904
33937.45000000,0.01473300,1625591054440
33937.45000000,0.00495600,1625591054883
33937.45000000,0.00495600,1625591054883
33946.25000000,0.01473100,1625591067905
