p,q,T
34801.00000000,0.00287300,1625647841077
34802.63000000,0.01437000,1625647841666
34802.63000000,0.01437000,1625647842662
34802.63000000,0.01260500,1625647843662
34803.12000000,0.00737600,1625647844632
34796.92000000,0.01437000,1625647844632
34796.92000000,0.01437000,1625647844632
34790.59000000,0.01290600,1625647845615
34817.64000000,0.01436100,1625647881978
34811.94000000,0.01436100,1625647882619
34824.99000000,0.01321000,1625647883385
34827.00000000,0.01436000,1625647883664
34828.03000000,0.01436000,1625647884662
34823.34000000,0.01435900,1625647886505
34819.37000000,0.01436400,1625647928668
34815.01000000,0.01436200,1625647929660
34826.88000000,0.01436200,1625647931672
34816.05000000,0.01436200,1625647932594
34808.77000000,0.01436200,1625647932620
34809.82000000,0.01436000,1625647933620
34826.51000000,0.01436000,1625647934673
34822.34000000,0.01436200,1625647935667
34821.52000000,0.01436300,1625647936668
34812.77000000,0.01436300,1625647937483
34803.69000000,0.01436300,1625647937620
34821.52000000,0.01436300,1625647938667
34821.52000000,0.00287200,1625647939664
34820.96000000,0.01149100,1625647939664
34820.96000000,0.00953800,1625647940665
34820.96000000,0.00482500,1625647940665
34820.96000000,0.01520600,1625647941236
34812.77000000,0.01436300,1625647941236
34805.34000000,0.00271000,1625647941619
34805.34000000,0.01165300,1625647941619
34805.55000000,0.01190100,1625647942619
34822.34000000,0.01436300,1625647943667
34823.35000000,0.00916400,1625647944667
34823.35000000,0.00519800,1625647944667
34823.35000000,0.00960400,1625647945279
34815.19000000,0.00251600,1625647945279
34815.19000000,0.01184600,1625647945409
34815.19000000,0.00432600,1625647946301
34815.19000000,0.00432600,1625647946363
34823.69000000,0.01436200,1625647947664
34815.70000000,0.01436200,1625647948423
34809.40000000,0.00895500,1625647948620
34809.40000000,0.00540700,1625647948620
34810.08000000,0.01436200,1625647949621
34825.00000000,0.01436000,1625647950668
34824.69000000,0.01436000,1625647951669
34824.68000000,0.01436000,1625647952680
34827.00000000,0.01436000,1625647953667
34827.00000000,0.01280200,1625647954665
34826.96000000,0.01436000,1625647955671
34826.96000000,0.00488700,1625647956326
34819.99000000,0.01436000,1625647956326
34810.08000000,0.01436000,1625647956620
34810.46000000,0.01436000,1625647957621
34810.46000000,0.01436000,1625647958621
34810.80000000,0.01083100,1625647959403
34824.85000000,0.01436100,1625647959663
34826.96000000,0.00930000,1625647960668
34826.96000000,0.00506000,1625647960668
34829.31000000,0.00290000,1625647961664
34819.99000000,0.01436000,1625647962343
34811.84000000,0.01436100,1625647962643
34810.12000000,0.01282200,1625647963643
34810.12000000,0.01436100,1625647964622
34810.46000000,0.00758100,1625647965623
34819.98000000,0.00677900,1625647965642
34810.46000000,0.01436000,1625647966624
34810.46000000,0.01267800,1625647967455
34829.32000000,0.01435900,1625647967669
34829.32000000,0.01574800,1625647968519
34829.32000000,0.01435900,1625647968671
34823.33000000,0.01307700,1625647969513
34831.40000000,0.01435900,1625647970667
34831.28000000,0.01435900,1625647971672
34823.33000000,0.01435900,1625647972697
34815.80000000,0.01089300,1625647973621
34815.80000000,0.00227500,1625647973621
34831.28000000,0.01435900,1625647974670
34831.28000000,0.01435900,1625647975676
34823.33000000,0.01435900,1625647975805
34816.92000000,0.00364400,1625647976622
34816.92000000,0.01071500,1625647976622
34816.73000000,0.01022900,1625647977621
34816.73000000,0.00413000,1625647977621
34816.73000000,0.01338700,1625647977771
34831.28000000,0.01435900,1625647978669
34831.83000000,0.01435700,1625647979667
34833.60000000,0.01435800,1625647980673
34833.60000000,0.02780900,1625647980778
34825.32000000,0.01435800,1625647980778
34816.32000000,0.00453200,1625647981622
34816.32000000,0.00982600,1625647981622
34816.32000000,0.01435700,1625647982621
34816.32000000,0.00946100,1625647982797
34834.89000000,0.00287200,1625647983525
34834.89000000,0.01435700,1625647983691
34835.00000000,0.01435700,1625647984668
34835.00000000,0.01435800,1625647985673
34835.00000000,0.00757800,1625647986648
34834.89000000,0.00677900,1625647986648
34834.89000000,0.03108800,1625647986894
34826.93000000,0.01435700,1625647986894
34817.62000000,0.01435900,1625647987635
34815.91000000,0.01435700,1625647988617
34834.88000000,0.01435900,1625647989652
34834.88000000,0.00673700,1625647989959
34834.88000000,0.01435900,1625647990645
34831.46000000,0.01435800,1625647991649
34824.23000000,0.01435800,1625647992031
34815.80000000,0.00581600,1625647992619
34815.80000000,0.00854200,1625647992619
