p,q,T
34516.96000000,0.01448800,1625678450103
34512.21000000,0.01448800,1625678450523
34499.55000000,0.01449200,1625678451080
34499.23000000,0.00501600,1625678452068
34499.55000000,0.00947300,1625678452068
34499.55000000,0.00255000,1625678453069
34514.66000000,0.01448900,1625678454094
34511.25000000,0.01448900,1625678454534
34499.22000000,0.00280100,1625678455078
34499.22000000,0.01168800,1625678455078
34499.22000000,0.01261200,1625678455420
34514.42000000,0.01448900,1625678456093
34513.84000000,0.01449000,1625678457096
34513.84000000,0.01449000,1625678458093
34512.46000000,0.00924300,1625678459091
34512.46000000,0.00524700,1625678459091
34512.37000000,0.01449000,1625678460098
